Month,PMI-std, PMI,AT (Abu Dhabi),AT ( Dubai),Existing (DLD),RevPar (Dubai),RevPar (Abu Dhabi),,,,,,
Jan-15,50,59.3,1.887631,6.950109,10.23,850.7372597,0,,,,,,
Feb-15,50,58.1,1.715540,6.021024,8.52,784.7163186,0,,,,,,
Mar-15,50,56.3,1.917939,6.778568,11.27,777.2616604,0,,,,,,
Apr-15,50,56.8,1.864947,6.537283,9.38,703.956431,0,,,,,,
May-15,50,56.4,1.877440,6.288814,10.16,525.4538865,0,,,,,,
Jun-15,50,54.7,1.848080,5.933482,14.33,352.3787829,0,,,,,,
Jul-15,50,55.8,2.100929,6.703922,9.5,334.5356341,0,,,,,,
Aug-15,50,57.1,2.254809,7.306933,9.57,411.0395876,0,,,,,,
Sep-15,50,56,2.005748,6.460197,10.84,462.1103799,0,,,,,,
Oct-15,50,54,1.920011,6.282414,11.1,664.6121463,0,,,,,,
Nov-15,50,54.5,1.781529,6.056175,8.74,688.1277212,0,,,,,,
Dec-15,50,53.3,2.112029,7.128796,9.18,678.4249399,415.35,,,,,,
Jan-16,50,52.7,2.154241,7.427529,6.21,745.6417393,392.44,,,,,,
Feb-16,50,53.1,1.863942,6.461129,6.42,660.3310791,376.17,,,,,,
Mar-16,50,54.5,2.025842,7.317845,8,714.6749205,429.4,,,,,,
Apr-16,50,52.8,1.960946,7.040578,9.35,587.126857,0,,,,,,
May-16,50,54,1.982010,6.773974,7.56,483.3629616,322.06,,,,,,
Jun-16,50,53.4,1.861378,5.896474,9.16,233.7482433,0,,,,,,
Jul-16,50,55.3,2.267572,7.677904,8.32,354.7142183,227.07,,,,,,
Aug-16,50,54.7,2.306832,7.796307,10.77,380.2127974,0,,,,,,
Sep-16,50,54.1,2.105960,7.156374,4.78,435.9059867,275.8,,,,,,
Oct-16,50,53.3,1.903556,6.483003,8.01,576.1536099,0,,,,,,
Nov-16,50,54.2,1.860207,6.660832,10.63,666.8062172,534.97,,,,,,
Dec-16,50,55,2.189633,7.812934,9.13,637.0699263,0,,,,,,
Jan-17,50,55.3,2.209515,8.160009,13.65,687.7642643,345.68,,,,,,
Feb-17,50,56,1.910626,7.029085,10.86,700.7221879,441.63,,,,,,
Mar-17,50,56.2,2.032642,7.641282,10.71,641.6008089,0,,,,,,
Apr-17,50,56.1,2.070764,7.742592,8.56,690.8651608,351.27,,,,,,
May-17,50,54.3,1.941959,6.925507,9.51,431.6585137,0,,,,,,
Jun-17,50,55.8,1.763103,6.110786,5.51,230.315392,0,,,,,,
Jul-17,50,56,2.138458,8.094342,6.64,304.8963881,0,,,,,,
Aug-17,50,57.3,2.161831,8.263622,8.17,326.3020119,206.95,,,,,,
Sep-17,50,55.1,1.867219,7.250952,7.23,377.0000839,0,,,,,,
Oct-17,50,55.9,1.704351,6.907714,8.1,569.0336071,376.88,,,,,,
Nov-17,50,57,1.671549,7.051491,7.37,645.076397,0,,,,,,
Dec-17,50,57.7,1.949576,7.969657,7.45,637.8382249,394.39,,,,,,
Jan-18,50,56.8,1.930939,8.080195,5.26,689.9992053,0,,,,,,
Feb-18,50,55.1,1.682495,7.022773,5.5,646.519063,349.2,,,,,,
Mar-18,50,54.8,1.878740,7.972681,5.69,633.9508302,0,,,,,,
Apr-18,50,55.1,1.841782,7.710691,5.88,602.9438791,345.88,,,,,,
May-18,50,56.5,1.692339,6.637937,6.75,341.862615,0,,,,,,
Jun-18,50,57.1,1.674307,6.832641,5.66,243.1234006,171.31,,,,,,
Jul-18,50,55.8,1.999709,8.249556,5.76,276.4932178,0,,,,,,
Aug-18,50,55,2.039900,8.416268,4.25,304.6096352,0,,,,,,
Sep-18,50,55.3,1.705141,7.235870,4.44,299.8069181,228.45,,,,,,
Oct-18,50,55,1.556457,7.051687,5.27,498.8227059,0,,,,,,
Nov-18,50,55.8,1.557427,6.997472,4.4,564.767516,0,,,,,,
Dec-18,50,54,1.760010,7.841818,5.19,591.2598449,0,,,,,,
Jan-19,50,56.3,0.000000,7.978709,4.38,572.2125865,350.88,,,,,,
Feb-19,50,53.4,0.000000,6.924889,6.08,559.5223282,447.46,,,,,,
Mar-19,50,55.7,0.000000,7.653892,4.42,509.1042342,0,,,,,,
Apr-19,50,57.6,0.000000,7.043477,5.9,529.3597369,353.98,,,,,,
May-19,50,59.4,0.000000,5.722750,3.85,223.9591187,175.1,,,,,,
Jun-19,50,57.7,0.000000,7.099522,3.2,259.6992756,213.43,,,,,,
Jul-19,50,55.1,0.000000,8.012968,4.86,232.7554296,0,,,,,,
Aug-19,50,51.6,0.000000,8.216852,2.99,258.5034322,0,,,,,,
Sep-19,50,51.1,0.000000,7.009610,3.92,259.2839353,249.03,,,,,,
Oct-19,50,51.1,0.000000,7.190843,5.12,462.0481851,0,,,,,,
Nov-19,50,50.3,0.000000,7.198193,4.95,496.7535614,0,,,,,,
Dec-19,50,50.2,0.000000,7.876106,4.21,525.1109005,392.64,,,,,,
Jan-20,50,49.3,0.000000,0.000000,3.51,558.5508326,0,,,,,,
Feb-20,50,49.1,0.000000,0.000000,6.13,431.0519989,0,,,,,,
Mar-20,50,45.2,0.000000,0.431926,5.03,170.6103668,183.86,,,,,,
Apr-20,50,44.1,0.000000,0,1.6,60.96691716,0,,,,,,
May-20,50,46.7,0.000000,0,1.3,67.96808024,138.88,,,,,,
Jun-20,50,50.4,0.000000,0,3.46,71.33029548,0,,,,,,
Jul-20,50,50.8,0.000000,0,3.87,98.73523269,0,,,,,,
Aug-20,50,49.4,0.000000,0,3.75,146.5444,193.22,,,,,,
Sep-20,50,51,0.000000,0,6.76,125.841366,0,,,,,,
Oct-20,50,49.5,0.000000,1.5,5.11,182.6191471,0,,,,,,
Nov-20,50,49.5,0.000000,0,5.78,221.6905295,0,,,,,,
Dec-20,50,51.2,0.000000,0,6.22,419.9665744,0,,,,,,
Jan-21,50,51.2,0.000000,0,5.43,382.4738921,0,,,,,,
Feb-21,50,50,0.000000,0,7.43,0,0,,,,,,
